icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
c00da8,FLE106,Canada,2026-09-07 06:48:59,2026-09-07 06:48:59,-119.3115,49.2242,11277.6,False,238.41,87.53,1.95,,11414.76,,False,0
acfc26,CMB537,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-75.5467,37.9568,7642.86,False,254.75,36.71,10.08,,7909.56,,False,0
a3845c,JBU2066,United States,2026-09-07 06:48:51,2026-09-07 06:48:56,-71.0149,42.3674,,True,0.0,331.88,,,,1407,False,0
4ba955,THY10,Turkey,2026-09-07 06:48:59,2026-09-07 06:49:00,-98.5681,46.3992,9448.8,False,279.51,56.49,0.0,,9951.72,,False,0
ab313c,DAL659,United States,2026-09-07 06:48:55,2026-09-07 06:48:55,-115.1386,36.0808,,True,0.0,315.0,,,,7156,False,0
a1b9c0,PXG210,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-80.4016,25.7987,518.16,False,94.26,87.18,-4.55,,518.16,0014,False,0
c1e5bf,WLD61,Canada,2026-09-07 06:48:59,2026-09-07 06:48:59,-123.1987,49.2066,,True,11.32,98.44,,,,,False,0
4ba946,THY12,Turkey,2026-09-07 06:48:59,2026-09-07 06:49:00,-71.3621,41.4214,9761.22,False,256.33,54.97,6.5,,9951.72,3333,True,0
a7fdf2,DAL458,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-112.3479,35.8249,10058.4,False,262.41,76.51,0.33,,10660.38,7331,False,0
8990e6,EVA051,Taiwan,2026-09-07 06:49:00,2026-09-07 06:49:00,-96.3231,31.6455,7978.14,False,245.37,324.64,4.55,,8503.92,,False,0
8990e3,EVA031,Taiwan,2026-09-07 06:49:00,2026-09-07 06:49:00,-79.4296,45.6979,9144.0,False,231.72,315.09,0.0,,9456.42,1514,False,0
8990e0,EVA055,Taiwan,2026-09-07 06:48:58,2026-09-07 06:48:59,-95.026,46.8385,8534.4,False,242.46,304.8,0.0,,8968.74,,False,0
8990f3,CAL035,Taiwan,2026-09-07 06:48:59,2026-09-07 06:49:00,-112.5094,33.4367,3185.16,False,156.22,280.05,2.6,,3345.18,,False,0
ad846f,JBU8779,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-88.1887,34.8762,4869.18,False,185.59,218.59,-8.45,,5135.88,,False,0
a88737,FFT3599,United States,2026-09-07 06:48:51,2026-09-07 06:48:59,-104.6665,39.8546,,True,0.0,177.19,,,,,False,0
8990eb,CAL5115,Taiwan,2026-09-07 06:44:21,2026-09-07 06:44:22,-122.097,33.5851,9753.6,False,234.2,256.15,0.0,,10233.66,1022,False,0
a79aae,ASA2618,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-102.374,36.3108,12192.0,False,226.83,256.09,0.0,,12969.24,6762,False,0
a07f81,N131GC,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-115.1496,36.1695,914.4,False,40.09,213.49,-0.33,,899.16,,False,0
a526e6,ASA746,United States,2026-09-07 06:44:14,2026-09-07 06:45:25,-122.2998,47.4484,,True,5.4,157.5,,,,,False,0
ad9712,JBU162,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-120.2642,38.9417,5920.74,False,231.86,49.95,5.85,,6134.1,,False,0
aa7f28,UAL2837,United States,2026-09-07 06:48:51,2026-09-07 06:48:59,-111.7871,38.4964,10058.4,False,275.23,90.21,0.33,,10599.42,,False,0
0d08f3,VIV5117,Mexico,2026-09-07 06:49:00,2026-09-07 06:49:00,-116.0915,32.2761,3390.9,False,190.75,290.19,-4.88,,3604.26,1321,False,0
a526ed,ATN3367,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-121.5988,38.687,,True,0.0,351.56,,,,,False,0
a370be,N3200X,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-93.7097,38.892,6789.42,False,210.29,93.51,18.53,,7170.42,,False,0
0d08b3,AMX188,Mexico,2026-09-07 06:48:49,2026-09-07 06:48:49,-109.2891,28.0611,11582.4,False,233.04,309.81,0.33,,12344.4,,False,0
a06bb6,N126TS,United States,2026-09-07 06:48:35,2026-09-07 06:48:36,-120.695,46.0889,5791.2,False,132.52,75.15,0.0,,5875.02,4772,True,0
71c250,KAL006,Republic of Korea,2026-09-07 06:48:23,2026-09-07 06:48:28,-115.1344,36.0844,,True,0.0,90.0,,,,,False,0
c06590,ACA1274,Canada,2026-09-07 06:48:59,2026-09-07 06:48:59,-115.2742,36.0854,1752.6,False,112.9,309.64,6.18,,1790.7,,False,0
a38522,KII837,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-89.4564,37.975,11582.4,False,223.72,259.8,0.0,,12275.82,,False,0
c0653d,ACA780,Canada,2026-09-07 06:48:59,2026-09-07 06:48:59,-110.1486,38.768,11277.6,False,274.3,57.56,0.0,,11917.68,4466,False,0
a31ba5,N3LL,United States,2026-09-07 06:48:58,2026-09-07 06:48:58,-80.3616,25.9535,426.72,False,78.35,138.46,-1.95,,411.48,2426,False,0
a2b501,UAL877,United States,2026-09-07 06:48:37,2026-09-07 06:48:58,-122.3942,37.6175,,True,0.0,298.12,,,,,False,0
a5ac3b,AAL3235,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-117.3408,33.9898,4777.74,False,169.88,261.99,-8.78,,5021.58,1725,False,0
a500dd,N421RR,United States,2026-09-07 06:48:59,2026-09-07 06:49:00,-93.1163,44.1908,4815.84,False,95.92,274.0,-2.28,,5029.2,,False,0
a8881e,QXE2351,United States,2026-09-07 06:48:58,2026-09-07 06:48:58,-123.2154,44.1196,,True,0.0,120.94,,,,4657,False,0
a740ff,TAI590,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-78.2201,36.9649,10050.78,False,229.53,24.5,-0.33,,10507.98,1001,False,0
a037b9,DAL912,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-103.4894,39.774,10058.4,False,255.25,106.39,0.0,,10706.1,6036,False,0
a2b562,ASA269,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-99.7519,46.1337,11277.6,False,273.29,97.25,0.0,,11864.34,,False,0
aa3909,N758PC,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-122.8147,43.3684,6416.04,False,118.86,339.21,-7.15,,6560.82,3273,False,0
a8758b,QXE2245,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-118.1258,46.3054,1630.68,False,119.69,130.47,-4.23,,1645.92,,False,0
acfbfd,ASA1371,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-117.7969,46.7171,10058.4,False,240.76,106.38,0.0,,10149.84,,False,0
aa1219,AAL1193,United States,2026-09-07 06:47:46,2026-09-07 06:47:53,-87.9314,41.9851,,True,7.72,0.0,,,,,False,0
ad727c,AMX025,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-90.6525,30.5681,11269.98,False,239.68,42.04,-0.33,,11963.4,,False,0
ad2ea1,ASA624,United States,2026-09-07 06:43:54,2026-09-07 06:43:54,-107.4166,46.2753,10668.0,False,245.04,98.57,-0.33,,11117.58,,False,0
a9823d,UAL1,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-123.3275,37.7226,5219.7,False,203.13,273.78,8.13,,5440.68,3347,False,0
a527d5,N431LF,United States,2026-09-07 06:44:47,2026-09-07 06:44:47,-122.954,45.5413,,True,0.06,227.81,,,,,False,0
0d07a8,VOI7810,Mexico,2026-09-07 06:48:59,2026-09-07 06:48:59,-118.1814,34.6911,11582.4,False,235.15,330.8,0.0,,12192.0,7222,False,0
a1cdd8,UAL418,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-113.6271,34.3857,11033.76,False,278.87,75.58,2.28,,11719.56,6525,False,0
781940,CSN438,China,2026-09-07 06:48:59,2026-09-07 06:48:59,-93.9013,49.2382,9753.6,False,235.29,338.31,0.0,,10187.94,,False,0
a1244b,UAL258,United States,2026-09-07 06:48:15,2026-09-07 06:48:15,-88.7528,27.8175,10668.0,False,234.85,24.32,0.0,,11315.7,,False,0
a972ee,GTI353,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-94.1961,45.6251,9753.6,False,235.82,309.25,0.0,,10271.76,,False,0
a3776f,AAL1292,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-104.6731,39.8613,,True,7.46,90.0,,,,,False,0
a28adf,CHP51,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-118.1057,34.0943,1676.4,False,75.0,108.81,0.0,,1722.12,1200,False,0
ac5868,FDX9798,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-92.6675,33.7172,10668.0,False,248.02,58.49,0.0,,11346.18,,False,0
a9e8cf,N738AM,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-117.2176,32.8918,373.38,False,66.52,176.01,-1.3,,342.9,0227,False,0
a8eb21,FFT3340,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-103.1207,40.6736,7635.24,False,232.26,60.26,5.53,,8107.68,1420,False,0
a35109,JBU359,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-98.7949,40.8932,10668.0,False,241.61,77.21,0.0,,11346.18,1041,False,0
a0af06,N143NE,United States,2026-09-07 06:48:59,2026-09-07 06:49:00,-70.6823,41.9898,586.74,False,71.3,135.0,0.0,,586.74,,False,0
a6aab5,DAL89,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-122.9662,36.1298,10363.2,False,249.19,299.16,0.0,,10820.4,4470,False,0
a77ae0,DAL575,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-115.0587,34.3103,10972.8,False,217.36,260.74,0.0,,11620.5,2037,False,0
a5916a,JCM458,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-87.7167,36.132,4366.26,False,210.12,142.26,-13.98,,4564.38,,False,0
71c381,AAR211,Republic of Korea,2026-09-07 06:48:59,2026-09-07 06:48:59,-122.7298,37.8079,3169.92,False,152.28,306.48,3.58,,3261.36,,False,0
a62778,GTI648,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-85.1111,36.3113,10668.0,False,271.74,152.61,0.0,,11269.98,5757,False,0
a639bb,N50XY,United States,2026-09-07 06:46:48,2026-09-07 06:46:48,-81.2173,33.9615,464.82,False,56.4,104.8,-3.25,,518.16,5613,False,0
a639c0,N50YC,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-90.394,41.2543,11582.4,False,205.12,241.38,0.33,,12230.1,,False,0
a4e6b8,N415AE,United States,2026-09-07 06:46:06,2026-09-07 06:46:06,-96.7665,33.0235,251.46,False,5.66,180.0,-0.65,,228.6,,False,0
a496a5,POD5,United States,2026-09-07 06:48:59,2026-09-07 06:49:00,-105.7799,37.2878,13708.38,False,213.66,257.2,-0.33,,14462.76,7066,False,0
7805aa,CSG2568,China,2026-09-07 06:48:59,2026-09-07 06:48:59,-73.7695,40.6322,,True,9.26,180.0,,,,,False,0
7805dd,CKK223,China,2026-09-07 06:49:00,2026-09-07 06:49:00,-118.0179,33.9315,922.02,False,97.0,23.44,0.0,,922.02,1422,False,0
a613e7,ATN3321,United States,2026-09-07 06:48:23,2026-09-07 06:48:25,-99.9467,40.9744,10363.2,False,226.3,251.03,0.0,,10972.8,,False,0
a3a0eb,UAL2810,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-121.4944,37.5661,3467.1,False,167.48,261.52,-9.75,,3581.4,3346,False,0
adb424,N982SB,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-122.9514,45.0823,4541.52,False,129.95,195.85,0.0,,4632.96,,False,0
aa4c51,N7627P,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-97.8333,32.4687,426.72,False,53.68,18.43,-1.63,,403.86,,False,0
a999df,GTI4312,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-83.954,34.9779,10363.2,False,234.63,315.09,0.0,,10949.94,2645,False,0
a733e6,AAL3035,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-99.6555,37.0339,10058.4,False,254.68,90.93,0.33,,10721.34,7377,False,0
a1bc92,JBU1524,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-103.5781,37.8061,10668.0,False,254.44,71.13,0.0,,11391.9,3602,False,0
39cf10,AFR173,France,2026-09-07 06:49:00,2026-09-07 06:49:00,-84.1086,33.2315,11635.74,False,243.65,57.85,2.6,,12283.44,4231,False,0
aca760,N914UY,United States,2026-09-07 06:48:56,2026-09-07 06:48:58,-115.1365,36.0806,,True,0.0,45.0,,,,,False,0
407cd1,BAW4LV,United Kingdom,2026-09-07 06:48:59,2026-09-07 06:48:59,-106.3928,44.0332,11887.2,False,290.84,42.92,0.0,,12466.32,,False,0
adb43d,N982TB,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-81.28,29.0832,556.26,False,29.74,232.73,3.9,,548.64,,False,0
78072a,YZR7451,China,2026-09-07 06:45:36,2026-09-07 06:45:36,-87.9004,41.9898,,True,6.94,0.0,,,,7235,False,0
a54ee1,FFT3439,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-121.8666,37.4928,2156.46,False,119.0,253.68,-6.18,,2209.8,3303,False,0
ab7fee,N840AW,United States,2026-09-07 06:48:53,2026-09-07 06:48:57,-112.0014,33.438,,True,0.0,270.0,,,,,False,0
a973de,N708SH,United States,2026-09-07 06:47:20,2026-09-07 06:47:20,-115.1638,36.0915,670.56,False,29.46,204.78,-2.6,,655.32,,False,0
c04599,CJT942,Canada,2026-09-07 06:49:00,2026-09-07 06:49:00,-84.4063,39.552,6118.86,False,209.28,36.5,11.7,,6385.56,,False,0
ac9fed,N912UT,United States,2026-09-07 06:46:22,2026-09-07 06:46:22,-95.8004,32.1828,396.24,False,58.1,249.8,-2.93,,388.62,,False,0
ab11cf,MVP620,United States,2026-09-07 06:48:27,2026-09-07 06:48:27,-72.6801,41.9446,,True,10.8,45.0,,,,2616,False,0
a89bd6,N654CP,United States,2026-09-07 06:46:12,2026-09-07 06:46:19,-74.4019,40.8111,53.34,False,59.99,216.28,-4.55,,68.58,4207,False,0
c05858,ACA7265,Canada,2026-09-07 06:48:59,2026-09-07 06:48:59,-73.1001,40.0583,10980.42,False,215.36,318.39,0.0,,11277.6,7456,False,0
