icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
ab8411,FDX5038,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-86.1741,35.6454,10668.0,False,252.32,81.44,0.0,,11308.08,,False,0
a81755,N620ME,United States,2026-09-07 06:58:12,2026-09-07 06:58:12,-79.7546,40.367,563.88,False,61.89,117.2,0.0,,594.36,,False,0
a54163,FFT1280,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-92.1663,31.0734,10668.0,False,243.6,122.58,0.0,,11338.56,3256,False,0
a339b1,DAL2617,United States,2026-09-07 06:57:24,2026-09-07 06:58:16,-93.2291,44.8646,,True,0.26,0.0,,,,,False,0
ac3b51,SWA2333,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-107.9899,35.5294,10668.0,False,255.25,86.07,0.0,,11369.04,2335,False,0
aa7718,SWA1558,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-98.1237,37.628,11277.6,False,244.6,115.54,0.0,,11986.26,3536,False,0
adab38,TAI568,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-79.5692,27.7585,10050.78,False,240.32,14.63,0.0,,10652.76,4653,False,0
a12f73,UAL8108,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-81.3405,29.571,10668.0,False,240.59,356.94,0.0,,11300.46,3775,False,0
a61f05,ASA464,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-121.0107,47.3358,6637.02,False,223.12,104.97,9.75,,6697.98,,False,0
a7816a,DAL1697,United States,2026-09-07 06:57:17,2026-09-07 06:58:17,-100.209,38.9041,11269.98,False,248.92,70.82,0.0,,12001.5,2612,False,0
a12f52,UAL367,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-118.8346,37.8877,10972.8,False,217.17,261.97,-0.33,,11460.48,7533,False,0
a6b185,N530ME,United States,2026-09-07 06:54:19,2026-09-07 06:54:33,-80.6337,40.3097,777.24,False,63.33,316.97,-2.28,,815.34,,False,0
ab1d30,DAL309,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-107.7909,37.0297,11277.6,False,265.82,80.08,0.0,,11986.26,7231,False,0
a1c0f7,00000000,United States,2026-09-07 06:55:53,2026-09-07 06:55:53,-82.5203,27.9682,,True,2.06,182.81,,,,6315,False,0
0c2084,CMP404,Panama,2026-09-07 06:58:09,2026-09-07 06:58:17,-78.2011,31.1607,10668.0,False,228.87,3.61,-0.33,,11262.36,7452,False,0
a7f6b9,FFT2428,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-115.1768,35.8983,3002.28,False,157.59,121.93,8.45,,3116.58,3373,False,0
a540e3,AAL2714,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-107.9908,34.7929,10058.4,False,259.28,68.83,0.0,,10751.82,,False,0
ad1560,JBU608,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-103.1717,34.538,10066.02,False,238.43,98.81,0.0,,10744.2,,False,0
a32803,AAL2453,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-114.3728,36.4142,10050.78,False,276.65,54.54,0.0,,10629.9,7366,False,0
a43518,N370PH,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-86.9892,36.7278,693.42,False,66.01,345.1,0.65,,693.42,,False,0
0d0fed,VOI1010,Mexico,2026-09-07 06:58:17,2026-09-07 06:58:17,-111.1164,29.0888,10363.2,False,243.48,311.4,0.0,,11056.62,,False,0
a12ee0,UAL1802,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-117.2931,45.7747,10058.4,False,248.38,86.68,0.33,,10172.7,3541,False,0
