icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a78fcf,ASA2625,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-118.4139,38.6326,11582.4,False,233.33,284.56,-0.33,,12100.56,,False,0
a97608,ASA255,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-90.3811,42.8216,10668.0,False,253.2,86.04,0.0,,11231.88,7321,False,0
ab2728,AVA205,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-81.1117,29.3567,10972.8,False,241.0,175.47,0.33,,11635.74,2245,False,0
ab5b66,SWA3131,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-117.0716,44.9861,10668.0,False,257.96,102.79,0.0,,10835.64,3507,False,0
a8304f,ASA7097,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-122.8326,47.7178,5516.88,False,202.43,324.41,10.73,,5600.7,,False,0
a52b8c,N432LF,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-122.5352,47.4647,662.94,False,67.5,232.43,2.93,,693.42,,False,0
a90e74,ABX3132,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-101.5681,38.3501,11590.02,False,222.03,265.08,0.0,,12329.16,,False,0
ac8cf1,AAL2945,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-114.0472,32.7751,10972.8,False,222.78,269.07,0.0,,11658.6,5652,False,0
ad5329,N958JB,United States,2026-09-07 07:02:25,2026-09-07 07:02:30,-73.7751,40.6463,,True,0.0,216.56,,,,,False,0
a12777,UAL1827,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-103.6827,35.5863,10668.0,False,248.57,75.13,0.0,,11384.28,7264,False,0
c044b2,CSB925,Canada,2026-09-07 07:02:35,2026-09-07 07:02:36,-82.277,30.8683,10690.86,False,236.48,187.25,0.0,,11285.22,6605,False,0
a1277a,UAL1137,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-113.377,31.3224,10668.0,False,232.74,120.7,-0.33,,11361.42,3325,False,0
